Id,Predicted
12412824,183472.8799641995
12154099,338578.93541791645
12393390,205882.20023286875
12414574,357031.8976676878
12402118,519668.5655471013
12387187,289911.71897292236
12085619,490251.6435070855
12339814,494861.384579156
12423545,805970.2542709565
12404294,323060.7803111609
12389607,468547.39745968755
12426862,225460.78707280697
11684589,413080.72581889486
12268641,1925890.208019042
12385568,264608.43693832774
12406185,803292.2495876328
12334993,1033810.6563459195
12385418,226909.11827765807
12388725,874713.9262437872
12423839,523485.2969413712
12298960,278686.0504921948
12281348,582599.6258954012
12220398,367366.05739269266
12418528,295674.6435145851
12092469,2432675.9750387105
12313718,306612.951402807
12418865,295578.13034731994
12359285,734471.0882554884
12326540,278964.2948372847
12380208,461128.65107999183
12377588,234233.0112265534
12333726,452334.02131902165
12143351,423712.50972944696
12336068,618963.6798210603
12146408,680950.9036896082
12405490,263639.79398016795
12412528,810866.6184538536
12292211,371375.9346806827
12404364,296949.4649030943
12397101,428546.4006722013
12387183,556169.2158913545
12425221,448828.4820792696
12414152,395648.0170080374
12272280,302993.03002689895
12371378,294595.3435320411
12389009,306915.4337061568
12394675,298011.2087718911
12389096,323269.6976374702
12341507,301091.1315391584
12419056,332635.7378863354
12416049,450988.25358589605
12110150,555009.9543181694
12414719,539199.2687871202
12396870,283357.5102714883
12390695,255914.2139607881
12427172,318353.68725302524
12417699,375223.73222092114
12300193,681954.2998633757
12267029,339646.56096410047
12358912,332689.32303082745
12334215,463900.63960495265
12389375,711476.8620500324
12417696,281231.8044516866
12426756,443881.6517810321
12242527,1576417.0595737027
12398510,378592.20532731403
12412740,359630.54419439076
12381140,341690.9579959625
12374805,2080158.6510145338
12418397,707166.0192661567
12391728,233709.22410987594
12379741,363790.50282493077
12417502,589705.5070463973
12384005,450861.3034467009
12356648,956932.3214379882
12402550,453575.00719047093
12319887,782483.718945255
12377451,293633.2425079413
12424232,340968.3849376329
12387967,368745.3683672181
12102833,1079077.6967179007
12402821,353351.0137066203
12394424,523081.7588830502
12298851,505012.7291839973
12184912,293633.0198549366
11909490,348756.42974991025
12393174,2181022.693829674
12374396,804209.3156171746
12125108,975918.5973385485
12029753,218099.0758405281
12133229,692221.9111743193
12377311,291611.8382321507
12427164,425061.71375824057
12393210,1179907.060784407
12392372,499994.4626189084
12428087,401082.2257436975
12146390,1046289.4112582031
12111277,378103.7750524026
12290119,293062.38208018895
12321667,811095.9848719117
12083346,710048.0443149188
12426749,480151.24125113967
12425620,597667.816464299
12334467,274562.5142507242
12390832,367726.34987396357
12032815,208425.5776533361
12296747,436162.6061633439
12278383,623543.2300074131
12303629,487055.30175229476
12389964,1002596.7286582687
12416983,294697.0658331932
12379017,420330.70722460694
12418496,298356.6846225059
12377313,738812.7890216131
12384166,250805.4365175451
12407568,326543.9750554348
12388879,727127.1458272156
12138124,2532843.352830255
11801230,761312.5741158747
12336192,328369.2730819097
11883060,528843.4972767391
12296647,650257.0132977789
12402824,390622.76746752165
12412639,333056.5553756813
12321748,234168.1798282641
12218612,653086.7971081728
12298710,309707.9626078036
12383789,237700.90660968146
12384499,258813.78429971606
12389816,328483.9176158849
12418988,222027.9625252219
12135215,427558.1750552098
12333881,371044.32068776904
12382907,370993.6029500483
12390326,318528.87910294154
12138355,1305475.7327439273
12192000,507025.5768389998
12352285,375961.11244775454
12418399,459637.8796971314
11682927,1301418.9032518158
12414505,248024.1718398963
12156069,471950.9325639488
12235803,973111.4630282909
12417499,406392.6409346283
12328201,920825.178641714
12163865,645305.3054856076
12377256,534432.2460401215
12275848,349635.74996020115
12019128,613803.7984509125
12145453,611824.1875025608
12121401,328834.366408575
12407573,300523.02148822835
12378315,236562.6473439229
12378689,515364.62789795385
12140243,882122.266806607
12333505,318769.2297138261
12418912,266996.0656031805
12110957,397560.0182665541
12393504,338798.25951930776
12375339,568258.7217695463
12154827,653873.7269209026
12267186,349390.6359846636
12260676,471397.7390414014
12415449,506796.90782904404
12085068,628944.4509182989
11768853,368740.5829125959
12073715,1621960.4225424293
12389522,360659.05730184505
12218739,272444.5069157872
12405265,908997.4473488395
12414024,971846.7560884914
12079480,797111.4542140156
12328403,316170.3081645658
12402547,309639.4165839602
12414522,507124.23659024335
12262195,480259.63894272223
12382016,366868.5879637993
12409095,885066.7710718695
12160297,340308.8833527127
12419068,610381.4821109691
12292477,218628.43618884095
12139657,612849.3447381239
12210087,557219.639089722
12374936,1264151.1430590306
12424124,597021.8601819642
12394552,307208.52574325335
12352923,307524.64821282885
12388791,351691.08484598907
12083038,685606.5338810143
12341495,569574.2367816877
12226499,361842.638858245
12038110,495471.252563848
12427143,269198.199537937
12388787,478486.35792222875
12385111,553290.7568032837
12311979,262383.8806335093
12374390,293220.74718517525
12277760,235315.94586834288
12365607,1292174.7264711896
12412597,261913.35096476198
12377795,681249.7361564189
12392971,358642.2984343447
12405608,348745.7592249665
12314380,250025.49720042472
12289877,450884.75036585133
12390515,300311.751050249
12416325,250294.7576402195
12392568,891868.3245090574
12418813,573224.1550363927
12269695,435782.04879371705
12356538,457846.74655070924
12404074,258328.7969763304
12388927,578006.2772502505
12379698,301600.91198601143
12098761,461831.15168595844
12280526,303439.63779363374
12423872,316939.7353786938
12382263,299046.5529640505
12322483,449363.1159978981
12223134,276954.69346536545
12360690,383996.33574944135
12089199,383923.95164061565
12396986,614666.3458878344
12327547,318157.83682722197
12327192,700539.2821871398
12402814,344482.90865294664
12419277,327609.67337991326
12404571,1070773.5008287947
12423930,419358.134985796
12359111,244613.01170829558
11925776,413052.76385662187
12209371,652733.3654547151
12425100,375230.02134328336
12417061,245990.5569440449
12261143,254150.86910920427
12382015,383902.3724145775
12388166,351369.4043807826
12259457,306092.9970083119
12292550,1115123.627375793
11917070,289640.0265103224
12327094,423910.78466786735
12426750,434765.77449470374
12314385,999898.4486583492
12287358,524623.4496930924
12392873,556910.2316381349
12297942,276438.8397058791
12423838,906473.9641434855
12374976,439965.68483669736
12268061,551314.575009669
12425426,2034207.810445451
11553376,2455745.3507599896
12415448,301459.7113973255
12409114,455795.5310419307
12132251,272822.5421915474
12403046,392662.60240039544
12050196,2297266.1638288856
12412928,346157.3155517112
12315466,1036532.8440651312
12388082,510671.0457744695
12406176,502523.621196451
12385243,289459.0665661412
12168059,407820.9763597793
11544405,2496545.481999831
12275600,567663.7652710206
12202187,296417.8389400097
12282647,898913.8957692691
12114016,809816.0863536972
12412525,352715.7898424945
12385613,448494.0986148767
12378449,688755.239163852
12408391,275752.2368225191
12415749,246964.3687837312
12346935,330532.68413839355
12405427,233535.5365242489
12396103,2467952.4720086474
12211109,658081.3674957101
12417268,544319.2274161904
12421544,424853.2646804059
12396982,196669.93095212872
12322449,268076.7562234449
12402660,384377.6000846089
12405421,379121.0533758374
12326170,334698.8665131208
12092548,590161.4845088482
12428036,411534.87738003716
12071934,675097.3985379932
12307973,771083.8994193866
12388081,460400.49826517806
12425071,929550.7350361075
12359007,402420.62312201335
12383411,730089.2015643998
12416055,386228.90157878667
12140059,375437.23238360515
12387709,727976.8727405018
12398776,411699.6120641226
12393212,277980.91868119955
12188469,288688.40608594706
12287265,262102.56335352932
12423192,283990.00997796655
12427288,373604.24853631563
12416052,925661.301560392
12417336,390360.61760886636
12378378,558283.6642429767
12404498,592861.9586642386
12267999,365201.88256071444
11888372,1135186.1911627601
12389400,1639522.3834340025
12394400,541371.2379245991
12390842,438828.0198853446
12393374,438473.7721449156
12425431,481129.4964664586
12377452,453274.2674330068
12327550,652470.871984291
12413260,723097.5020233364
12417394,461946.64688676916
12326251,344331.48243416153
12427178,298348.72294784436
12419051,402851.55230331584
12398785,536733.9342078872
12425041,886528.0954882955
12119461,589283.6760148968
12388076,386831.9633560183
12422751,345171.26323715184
12385347,690991.8502645016
12117041,407937.3736988488
12139000,161836.83086945533
12412938,453326.2189251287
12422126,367921.46910652774
12358905,303829.5431714827
12419176,259757.2591744054
12358354,2391715.011394329
12282634,752977.9183684912
12394532,675262.1569504531
12357343,368879.90914500476
12150920,472412.315987935
12308684,242397.64708613715
12371162,892331.3285027909
12425225,429991.636653806
12346985,348677.475607357
12398786,504880.2527318815
12412745,250422.80439197444
12202523,330135.2022351446
12398750,255594.23242380458
12414171,387095.7857181618
12408713,271238.4232927406
12397107,412676.424792509
12390694,194783.17506701566
12424228,435718.2630099354
11984055,378235.8210031238
12311338,801070.0574209988
12307766,362844.3063764215
12270385,1462255.6879086026
12300646,269378.3859047971
12385191,414230.1929411721
12425622,367283.070812118
12394692,282341.33482405083
12254977,241687.42750058157
12413171,485364.37678690074
12352322,262445.0714388335
11306151,2348202.405978996
12378905,284886.1699287575
12278612,253481.2830240457
12396108,481197.1180590303
12414504,365122.41872185917
12423567,237461.257738652
12374542,421772.3263366492
12412633,398861.2157263122
12296561,499749.00847591687
12405779,216694.6194240325
12390545,389354.92776402243
12412942,244420.75934542977
12152855,479316.3294118577
12390686,326202.6084341277
12374544,405575.14565417886
12135118,704059.6763199839
12425616,672482.9616277013
12377787,450023.5182374621
12425722,423629.40578749246
12037370,450273.8595240637
12385542,494935.05203872564
12423710,547041.6681510207
12314891,744946.7891201505
12368199,313928.03432083246
12375170,318539.2210542969
12414276,1048979.0951948322
12419274,407016.65118718665
11894614,242395.5625435129
12374496,220631.41113469444
12405754,299888.0343283828
12389872,448661.27886212594
12368841,299943.4366888096
12395136,732834.2442457285
12303537,515973.92113263166
12413939,173555.23002431146
12427291,282531.348100699
12375049,338953.3601534831
12389807,454063.59089433076
12127041,277012.38976311905
12413921,226327.63980559583
12082909,281248.10482340783
12422889,996454.5616516089
12132235,297144.0942226376
12365837,308843.62979230605
12384915,186660.30369799864
12425220,449238.12642723584
12379583,278312.342349215
12424009,211812.22336209478
12385192,806234.0453431574
12369815,382801.32812761836
12416011,948411.8425807027
12232222,374084.0863626479
11905630,672039.4383795363
12394865,370716.9326313662
